country,year,co2_emissions,greenhouse_gas_emissions,cereal_yield,population_growth,GDP,fresh_water,urban_population,renewable_electricity,total_population,renewable_energy_consumption
Algeria,2017,,265628.7808,,,,,,,,
Algeria,2016,,262948.8019,,,,,,,,
Algeria,2015,,261745.2952,,,,,,,,
Algeria,2014,,252331.6686,,,,,,,,
Algeria,2013,,239618.2599,,,,,,,,
Algeria,2012,,234851.8305,,,,,,,,
Algeria,2011,,216395.9083,,,,,,,,
Algeria,2010,,210955.5444,,,,,,,,
Algeria,2009,,208060.3925,,,,,,,,
Algeria,2008,,206120.0102,,,,,,,,
Algeria,2007,,200976.5808,,,,,,,,
Algeria,2006,,197745.7365,,,,,,,,
Algeria,2005,,190102.764,,,,,,,,
Algeria,2004,,182785.5452,,,,,,,,
Algeria,2003,,178930.5663,,,,,,,,
Algeria,2002,,165592.4705,,,,,,,,
Algeria,2001,,159166.6551,,,,,,,,
Algeria,2000,,161798.7973,,,,,,,,
Algeria,1999,,152598.5186,,,,,,,,
Algeria,1998,,148305.1158,,,,,,,,
Algeria,1997,,146430.5721,,,,,,,,
Algeria,1996,,147141.9815,,,,,,,,
Algeria,1995,,143656.5723,,,,,,,,
Algeria,1994,,137206.0895,,,,,,,,
Algeria,1993,,134958.2579,,,,,,,,
Algeria,1992,,126550.6264,,,,,,,,
Algeria,1991,,125898.2318,,,,,,,,
Algeria,1990,,122219.4894,,,,,,,,
Lesotho,2020,,4013.753971,,,,,,,,
Lesotho,2019,,3846.161753,,,,,,,,
Lesotho,2018,,3952.152334,,,,,,,,
Lesotho,2017,,4227.946916,,,,,,,,
Lesotho,2016,,3792.343497,,,,,,,,
Lesotho,2015,,3835.802779,,,,,,,,
Lesotho,2014,,4047.125728,,,,,,,,
Lesotho,2013,,3920.397077,,,,,,,,
Lesotho,2012,,4733.792526,,,,,,,,
Lesotho,2011,,4692.885375,,,,,,,,
Lesotho,2010,,3921.741124,,,,,,,,
Lesotho,2009,,3880.463218,,,,,,,,
Lesotho,2008,,3759.410411,,,,,,,,
Lesotho,2007,,3792.326405,,,,,,,,
Lesotho,2006,,3701.045198,,,,,,,,
Lesotho,2005,,3733.837092,,,,,,,,
Lesotho,2004,,3538.510805,,,,,,,,
Lesotho,2003,,3566.594318,,,,,,,,
Lesotho,2002,,3485.839832,,,,,,,,
Lesotho,2001,,3638.687645,,,,,,,,
Lesotho,2000,,3640.151058,,,,,,,,
Lesotho,1999,,3696.363297,,,,,,,,
Lesotho,1998,,3149.855235,,,,,,,,
Lesotho,1997,,3326.279873,,,,,,,,
Lesotho,1996,,3210.990912,,,,,,,,
Lesotho,1995,,3193.69145,,,,,,,,
Lesotho,1994,,3236.214117,,,,,,,,
Lesotho,1993,,3234.879384,,,,,,,,
